REASON,CATEGORY,SUBCATEGORY,MAKE,SUPPORTTYPE,END OF LIFE,USER/SUBSCRIPTIONS,QUANTITY,SERIALNO/LICENSE KEY,DEPARTMENT,ENTITY,MODEL/LICENSE NAME,DESCRIPTION,CURRENCY,AMOUNT,VENDOR_NAME,VENDOR_EMAIL,VENDOR_CONTACT,INFORM_VENDOR(1/0),RECURRENCE(1/0),START_REMINDER_FROM,GST,LOCATION,CONTRACT_NO,MORE_RECEIPENTS,SET_ESCALATION(1/0),ESCALATION_EMAIL,START_ESCALATION_FROM
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","HardwareMaterials","Amzon","type2","2022-03-30","yes",700,344894,"Electronics","Unit",3784683,"test362","Rupees",8000,"shree","swapna@contisofttechno.com",9878675565,1,"2022-03-17","2022-03-31",1,1,837269,"mumbai",9878478377,"swapna@contisofttechno.com",1,"swapna@contisofttechno.com",1,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Software","Renew","atos","type","2022-03-29","sdjgh",100,37836978374,"IT","unit",347469,"test362","rupees",1000,"swapna","swapna@contisofttechno.com",983784637,1,"2022-03-17","2022-03-29",1,3,434738,"pune",9878377733,"swapna.pechfule123@gmail.com,swapna@contisofttechno.com",0,"swapna@contisofttechno.com",5,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Lease Line","atos","type","2022-03-30","sdjgh",28,37836978375,"Sales","Project",347470,"Lease line","rupees",1001,"swapna","swapna@contisofttechno.com",983784638,1,"2022-03-18","2022-03-30",1,4,434739,"pune",9878377734,"swapna.pechfule124@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",6,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Licence","Driving Licene","atos","type","2022-03-31","sdjgh",300,37836978376,"Sales","Triangular Automation Pvt Ltd",347471,"Driving license","rupees",1002,"swapna","swapna@contisofttechno.com",983784639,1,"2022-03-19","2022-03-31",1,5,434740,"pune",9878377735,"swapna.pechfule125@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",7,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Laptop","atos","type","2022-04-01","sdjgh",86,37836978377,"IT","A R Corporation",347472,"iBM Z series","rupees",1003,"swapna","swapna@contisofttechno.com",983784640,"","2022-03-20","2022-04-01",1,6,434741,"pune",9878377736,"swapna.pechfule126@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",8,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Storage","atos","type","2022-04-02","sdjgh",75,37836978378,"IT","A R Corporation",347473,"iBM Z series Storage","rupees",1004,"swapna","swapna@contisofttechno.com",983784641,0,"2022-03-21","2022-04-02","",7,434742,"pune",9878377737,"swapna.pechfule127@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",9,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Storage","atos","type","2022-04-03","sdjgh",82,37836978379,"Admin","A R Corporation",347474,"Z Series Storage located Hyderabad DR SIte","rupees",1005,"swapna","swapna@contisofttechno.com",983784642,0,"2022-03-22","2022-04-03",0,8,434743,"pune",9878377738,"swapna.pechfule128@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",10,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Desktop","atos","type","2022-04-04","sdjgh",166,37836978380,"IT","A R Corporation",347475,"Storage","rupees",1006,"swapna","swapna@contisofttechno.com",983784643,"","2022-03-23","2022-04-04","",9,434744,"pune",9878377739,"swapna.pechfule129@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",11,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Desktop","atos","type","2022-04-05","sdjgh",167,37836978381,"IT","A R Corporation",347476,"Storage","rupees",1007,"swapna","swapna@contisofttechno.com",983784644,0,"2022-03-24","2022-04-05","",10,434745,"pune",9878377740,"swapna.pechfule130@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",12,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Printer","atos","type","2022-04-06","sdjgh",3,37836978382,"IT","ABC enterprise",347477,"Cannon","rupees",1008,"swapna","swapna@contisofttechno.com",983784645,"","2022-03-25","2022-04-06",0,11,434746,"pune",9878377741,"swapna.pechfule131@gmail.com,swapna@contisofttechno.com",1,"swapna@contisofttechno.com",13,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Monitor","atos","type","2022-04-07","sdjgh",34,37836978383,"IT","ABC enterprise",347478,"Lenovo 14 inch LCD dispplay","rupees",1009,"swapna","swapna@contisofttechno.com",983784646,"","2022-03-26","2022-04-07","",12,434747,"pune",9878377742,"swapna.pechfule132@gmail.com,swapna@contisofttechno.com","","","","","",-19091
